country,date_td,new_cases,new_deaths,people_vaccinated,people_fully_vaccinated,first_dose,second_dose,apprvl_vaccine,days_apprvl,rNumbertype,r_median,r_mean,r_sd,r_lower_90,r_lower_50,r_lower_20,r_upper_20,r_upper_50,r_upper_90
United States,22jan2020,,,,,,,,,,,,,,,,,,
United States,23jan2020,0,,,,,,,,,,,,,,,,,
United States,24jan2020,1,,,,,,,,,,,,,,,,,
United States,25jan2020,0,,,,,,,,,,,,,,,,,
United States,26jan2020,3,,,,,,,,,,,,,,,,,
United States,27jan2020,0,,,,,,,,,,,,,,,,,
United States,28jan2020,0,,,,,,,,,,,,,,,,,
United States,29jan2020,1,,,,,,,,,,,,,,,,,
United States,30jan2020,0,,,,,,,,,,,,,,,,,
United States,31jan2020,2,,,,,,,,,,,,,,,,,
United States,01feb2020,0,,,,,,,,,,,,,,,,,
United States,02feb2020,0,,,,,,,,,,,,,,,,,
United States,03feb2020,3,,,,,,,,,,,,,,,,,
United States,04feb2020,0,,,,,,,,,,,,,,,,,
United States,05feb2020,0,,,,,,,,,,,,,,,,,
United States,06feb2020,1,,,,,,,,,,,,,,,,,
United States,07feb2020,0,,,,,,,,,,,,,,,,,
United States,08feb2020,0,,,,,,,,,,,,,,,,,
United States,09feb2020,0,,,,,,,,,,,,,,,,,
United States,10feb2020,0,,,,,,,,,,,,,,,,,
United States,11feb2020,1,,,,,,,,,,,,,,,,,
United States,12feb2020,0,,,,,,,,,,,,,,,,,
United States,13feb2020,1,,,,,,,,,,,,,,,,,
United States,14feb2020,0,,,,,,,,,,,,,,,,,
United States,15feb2020,0,,,,,,,,,,,,,,,,,
United States,16feb2020,0,,,,,,,,,,,,,,,,,
United States,17feb2020,0,,,,,,,,,,,,,,,,,
United States,18feb2020,0,,,,,,,,,,,,,,,,,
United States,19feb2020,0,,,,,,,,,,,,,,,,,
United States,20feb2020,0,,,,,,,,,,,,,,,,,
United States,21feb2020,2,,,,,,,,,,,,,,,,,
United States,22feb2020,0,,,,,,,,,,,,,,,,,
United States,23feb2020,0,,,,,,,,,,,,,,,,,
United States,24feb2020,0,,,,,,,,,,,,,,,,,
United States,25feb2020,0,,,,,,,,,,,,,,,,,
United States,26feb2020,0,,,,,,,,,,,,,,,,,
United States,27feb2020,1,,,,,,,,,,,,,,,,,
United States,28feb2020,0,,,,,,,,,,,,,,,,,
United States,29feb2020,8,1,,,,,,,,,,,,,,,,
United States,01mar2020,7,0,,,,,,,,,,,,,,,,
United States,02mar2020,23,5,,,,,,,,,,,,,,,,
United States,03mar2020,19,1,,,,,,,,,,,,,,,,
United States,04mar2020,33,4,,,,,,,,,,,,,,,,
United States,05mar2020,77,1,,,,,,,,,,,,,,,,
United States,06mar2020,53,2,,,,,,,,,,,,,,,,
United States,07mar2020,166,3,,,,,,,,,,,,,,,,
United States,08mar2020,116,4,,,,,,,,,,,,,,,,
United States,09mar2020,75,1,,,,,,,,,,,,,,,,
United States,10mar2020,188,6,,,,,,,,,,,,,,,,
United States,11mar2020,365,5,,,,,,,,,,,,,,,,
United States,12mar2020,439,10,,,,,,,,,,,,,,,,
United States,13mar2020,633,8,,,,,,,,,,,,,,,,
United States,14mar2020,759,7,,,,,,,,,,,,,,,,
United States,15mar2020,234,12,,,,,,,,,,,,,,,,
United States,16mar2020,1467,27,,,,,,,,,,,,,,,,
United States,17mar2020,1833,37,,,,,,,,,,,,,,,,
United States,18mar2020,2657,60,,,,,,,,,,,,,,,,
United States,19mar2020,4494,72,,,,,,,,,,,,,,,,
United States,20mar2020,6367,106,,,,,,,,,,,,,,,,
United States,21mar2020,5995,103,,,,,,,,,,,,,,,,
United States,22mar2020,8873,113,,,,,,,,,,,,,,,,
United States,23mar2020,11238,191,,,,,,,,,,,,,,,,
United States,24mar2020,10619,241,,,,,,,,,,,,,,,,
United States,25mar2020,12082,330,,,,,,,,,,,,,,,,
United States,26mar2020,17856,417,,,,,,,,,,,,,,,,
United States,27mar2020,18690,516,,,,,,,,,,,,,,,,
United States,28mar2020,19630,637,,,,,,,,,,,,,,,,
United States,29mar2020,18899,608,,,,,,,,,,,,,,,,
United States,30mar2020,22075,709,,,,,,,,,,,,,,,,
United States,31mar2020,26314,1097,,,,,,,,,,,,,,,,
United States,01apr2020,32243,1327,,,,,,,,,,,,,,,,
United States,02apr2020,32235,1509,,,,,,,,,,,,,,,,
United States,03apr2020,32287,1427,,,,,,,,,,,,,,,,
United States,04apr2020,32416,1566,,,,,,,,,,,,,,,,
United States,05apr2020,29877,1614,,,,,,,,,,,,,,,,
United States,06apr2020,31381,1770,,,,,,,,,,,,,,,,
United States,07apr2020,30767,2580,,,,,,,,,,,,,,,,
United States,08apr2020,31192,2151,,,,,,,,,,,,,,,,
United States,09apr2020,35941,2202,,,,,,,,,,,,,,,,
United States,10apr2020,34415,2207,,,,,,,,,,,,,,,,
United States,11apr2020,29130,2122,,,,,,,,,,,,,,,,
United States,12apr2020,27255,1868,,,,,,,,,,,,,,,,
United States,13apr2020,26930,2008,,,,,,,,,,,,,,,,
United States,14apr2020,28781,2446,,,,,,,,,,,,,,,,
United States,15apr2020,25440,2594,,,,,,,,,,,,,,,,
United States,16apr2020,30035,2153,,,,,,,,,,,,,,,,
United States,17apr2020,33030,2110,,,,,,,,,,,,,,,,
United States,18apr2020,27932,1990,,,,,,,,,,,,,,,,
United States,19apr2020,26096,1979,,,,,,,,,,,,,,,,
United States,20apr2020,29828,2232,,,,,,,,,,,,,,,,
United States,21apr2020,25917,2519,,,,,,,,,,,,,,,,
United States,22apr2020,28859,2447,,,,,,,,,,,,,,,,
United States,23apr2020,33570,2465,,,,,,,,,,,,,,,,
United States,24apr2020,32327,2193,,,,,,,,,,,,,,,,
United States,25apr2020,30395,1713,,,,,,,,,,,,,,,,
United States,26apr2020,26501,1394,,,,,,,,,,,,,,,,
United States,27apr2020,23703,1516,,,,,,,,,,,,,,,,
United States,28apr2020,24577,2219,,,,,,,,,,,,,,,,
United States,29apr2020,26438,2407,,,,,,,,,,,,,,,,
United States,30apr2020,29220,2288,,,,,,,,,,,,,,,,
United States,01may2020,34926,1899,,,,,,,,,,,,,,,,
United States,02may2020,27350,1723,,,,,,,,,,,,,,,,
United States,03may2020,24297,1178,,,,,,,,,,,,,,,,
United States,04may2020,24085,1364,,,,,,,,,,,,,,,,
United States,05may2020,24531,2233,,,,,,,,,,,,,,,,
United States,06may2020,24559,2292,,,,,,,,,,,,,,,,
United States,07may2020,27412,1922,,,,,,,,,,,,,,,,
United States,08may2020,26838,1748,,,,,,,,,,,,,,,,
United States,09may2020,25136,1541,,,,,,,,,,,,,,,,
United States,10may2020,18867,973,,,,,,,,,,,,,,,,
United States,11may2020,19271,1032,,,,,,,,,,,,,,,,
United States,12may2020,22947,1584,,,,,,,,,,,,,,,,
United States,13may2020,20408,1729,,,,,,,,,,,,,,,,
United States,14may2020,26818,1776,,,,,,,,,,,,,,,,
United States,15may2020,24747,1661,,,,,,,,,,,,,,,,
United States,16may2020,24159,1262,,,,,,,,,,,,,,,,
United States,17may2020,18363,818,,,,,,,,,,,,,,,,
United States,18may2020,22390,1213,,,,,,,,,,,,,,,,
United States,19may2020,21007,1451,,,,,,,,,,,,,,,,
United States,20may2020,22697,1481,,,,,,,,,,,,,,,,
United States,21may2020,25766,1182,,,,,,,,,,,,,,,,
United States,22may2020,23656,1242,,,,,,,,,,,,,,,,
United States,23may2020,21112,1113,,,,,,,,,,,,,,,,
United States,24may2020,20067,632,,,,,,,,,,,,,,,,
United States,25may2020,18672,583,,,,,,,,,,,,,,,,
United States,26may2020,19650,679,,,,,,,,,,,,,,,,
United States,27may2020,18549,1471,,,,,,,,,,,,,,,,
United States,28may2020,22322,1125,,,,,,,,,,,,,,,,
United States,29may2020,24472,1142,,,,,,,,,,,,,,,,
United States,30may2020,23633,961,,,,,,,,,,,,,,,,
United States,31may2020,18987,725,,,,,,,,,,,,,,,,
United States,01jun2020,17435,774,,,,,,,,,,,,,,,,
United States,02jun2020,21503,974,,,,,,,,,,,,,,,,
United States,03jun2020,19844,1006,,,,,,,,,,,,,,,,
